Model,,FreTS,,XGBoost,,ARIMA,,Prophet,,LTSF,
Metric,,MAE,MSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
Dataset,Prediction Length,,,,,,,,,,
Weather,96,0.041,0.092,0.0556,0.0659,0.0295,0.0351,0.0351,0.0397,0.0892,0.1200
Weather,192,0.050,0.115,0.0676,0.0796,0.0464,0.0561,0.0384,0.0442,0.1080,0.1444
Weather,336,0.062,0.164,0.0819,0.1012,0.0650,0.0848,0.0432,0.0499,0.1432,0.1836
Weather,720,0.064,0.106,0.1689,0.1878,0.0627,0.0799,0.0657,0.0855,0.2005,0.2450
Exchange,96,0.050,0.068,0.0830,0.1041,0.0495,0.0551,0.0852,0.0886,0.0443,0.0598
Exchange,192,0.067,0.089,0.1329,0.1561,0.0553,0.0631,0.1179,0.1258,0.0546,0.0730
Exchange,336,0.102,0.130,0.1555,0.1739,0.0774,0.0889,0.1623,0.1764,0.0795,0.1053
Exchange,720,0.132,0.171,0.1689,0.1878,0.1012,0.1191,0.2363,0.2560,0.1850,0.2249
Traffic,96,0.020,0.038,0.0562,0.0901,0.0867,0.1182,0.0424,0.0641,0.0407,0.0786
Traffic,192,0.021,0.040,0.0493,0.0821,0.0987,0.1368,0.0459,0.0677,0.0376,0.0753
Traffic,336,0.022,0.041,0.0503,0.0843,0.0980,0.1357,0.0474,0.0718,0.0390,0.0758
Traffic,720,0.023,0.043,0.0507,0.0841,0.0921,0.1251,0.0487,0.0756,0.0534,0.0907
Electricity,96,0.037,0.061,0.0439,0.0565,0.1631,0.1914,0.0857,0.1057,0.0544,0.0800
Electricity,192,0.038,0.063,0.0522,0.0687,0.1648,0.1948,0.0832,0.1027,0.0585,0.0826
Electricity,336,0.043,0.067,0.0535,0.0706,0.1676,0.1987,0.0849,0.1045,0.0560,0.0819
Electricity,720,0.051,0.0779,0.0593,0.0792,0.1700,0.2031,0.0862,0.1061,0.0588,0.0847
ETTh1,96,0.063,0.091,0.0540,0.0698,0.0850,0.0993,0.0782,0.0912,0.0768,0.1040
ETTh1,192,0.068,0.095,0.0614,0.0789,0.0970,0.1196,0.0752,0.0891,0.0968,0.1250
ETTh1,336,0.072,0.099,0.0891,0.1184,0.0955,0.1196,0.0852,0.1017,0.1096,0.1396
ETTh1,720,0.084,0.111,0.1064,0.1333,0.1040,0.1315,0.0983,0.1140,0.1204,0.1551
ETTm1,96,0.053,0.078,0.0430,0.0551,0.1415,0.1593,0.0817,0.0948,0.0730,0.0969
ETTm1,192,0.058,0.085,0.0421,0.0542,0.1351,0.1532,0.0778,0.0906,0.0835,0.1073
ETTm1,336,0.064,0.092,0.0508,0.0662,0.1368,0.1544,0.0735,0.0864,0.0877,0.1113
ETTm1,720,0.069,0.098,0.0538,0.0706,0.1363,0.1546,0.0729,0.0859,0.0959,0.1217